id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
187870,Luxury studio 'Spiegelhof' in the centre of Ghent,904277,Tamara,,Watersportbaan - Ekkergem,51.05247,3.70316,Private room,,2,427,2024-03-04,2.64,1,219,2,
203806,Flat close to Sint-Pieters Station!,999847,Jean Denis,,Watersportbaan - Ekkergem,51.04426,3.7127,Entire home/apt,127,2,321,2024-11-03,2.00,1,348,23,
252269,Large & bright town House - Center Ghent - max 8p,1195314,Anne-Sophie,,Elisabethbegijnhof - Papegaai,51.05059,3.71895,Entire home/apt,308,2,313,2024-12-01,2.02,1,192,42,
476371,Basic room in a 19th century house near station.,996824,Annabell,,Macharius - Heirnis,51.04799,3.74363,Private room,50,4,45,2022-08-29,0.30,5,78,0,
696209,Black & White studioB central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,94,90,38,2024-02-06,0.26,5,269,1,
743981,Black & White studioA central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,95,90,23,2024-02-02,0.16,5,179,1,
835795,Koestraat 46,4369972,Koestraat 46,,Binnenstad,51.05277,3.72902,Entire home/apt,113,2,587,2024-12-20,4.09,1,239,82,
887716,Duplex studio F central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,110,90,11,2024-06-30,0.12,5,195,1,
924683,Perfect apartment centre of Ghent,4974034,Carmen,,Elisabethbegijnhof - Papegaai,51.05353,3.71675,Entire home/apt,44,20,404,2023-07-23,2.81,1,188,0,
1018048,"Large airy studio, central location",5600970,Johan,,Sluizeken - Tolhuis - Ham,51.06097,3.71737,Entire home/apt,65,1,996,2024-12-13,7.62,1,246,88,
1135017,Raamhof: long stay in city center,6226459,Simon,,Elisabethbegijnhof - Papegaai,51.05611,3.71641,Entire home/apt,121,14,244,2022-12-29,1.74,2,338,0,
1141163,Huis van Vletingen downtown apartment Ghent,5082339,Joost,,Binnenstad,51.04531,3.73526,Entire home/apt,123,2,161,2024-08-01,1.14,1,293,10,
1339383,"Heaven@11, your charming studio in historic Gent.",7258638,Ina,,Binnenstad,51.05823,3.72194,Entire home/apt,130,4,49,2024-11-03,0.36,1,13,10,
1418588,"Modern house w pool,near Ghent,2-8p",7640576,Stijn,,Sint Denijs Westrem,51.02246,3.66932,Entire home/apt,301,4,65,2024-08-11,0.48,1,111,4,
1425838,Cosy room in green area,6976593,Hilde,,Mariakerke,51.07343,3.69184,Private room,51,7,23,2024-11-15,0.17,2,303,3,
1627743,band resort 0.1,8651909,Gerald,,Binnenstad,51.05631,3.72768,Entire home/apt,194,5,221,2024-11-11,1.61,2,232,16,
